Fragment,Count
[3*]OC(N)(N[5*])ON=NN=O,2
[3*]OC(O)(N[5*])N(N=N)N=O,2
[13*]C1(N=NON=N)NC(=O)O1,2
[13*]C1(N=NOC#N)NN(O)O1,2
[13*]C1(N=NNN=N)OC(=O)O1,2
[13*]C1(N=NN=C=N)ON(O)O1,2
[1*]C(=O)NN=NN=NC(=O)O,2
[13*]C1(N=NN=C=O)NN(O)O1,2
[13*]C1(N=NN=NO)N=C(O)O1,2
[13*]C12NC(N=NN=NO)(O1)O2,2
[13*]C1(O)OC2(N=NN=NN2)O1,2
[1*]C(=O)N=NN=NOC(=N)O,2
[13*]C1(O)OC2(N=NNN=N2)O1,2
[13*]C1(O)NC2(N=NN=NO2)O1,2
[3*]OC(N)(O)N=NNC#N,2
[1*]C(=O)N=NNN=NC(=O)O,2
[13*]C1(O)NC2(N=NON=N2)O1,2
[13*]C1(N)OC2(N=NN=NO2)O1,2
[3*]OC(N)(O)N=NN=C=N,2
[13*]C1(N=NON=N)N=C(O)O1,2
[5*]N1C([13*])(O)NC1(O)O,2
[3*]OC(N)(O)NN=NC#N,2
[13*]C12OC(N=NON=O)(O1)O2,2
[13*]C1(N=NNN=O)NC(=O)O1,2
[13*]C1(NN=NN=O)NC(=O)O1,2
[1*]C(=O)N=NON=NC(=O)O,2
[13*]C1(N=NN=NO)NC(=O)O1,2
[13*]C12NC(N=NON=O)(O1)O2,2
[13*]C12OC(N=NON=N)(O1)O2,2
[13*]C12OC(N=NNN=O)(O1)O2,2
[13*]C12OC(NN=NN=O)(O1)O2,2
[13*]C12OC(N=NN=NO)(O1)O2,2
[13*]C1(N=C=NN=O)ON(O)O1,2
[13*]C1(N=C=NN=O)ON(N)O1,2
[13*]C1(N=C=NN=O)NN(O)O1,2
[13*]C1(N=C=NN=N)ON(O)O1,2
[13*]C12NC(N=NON=O)(N1)O2,2
[1*]C(=O)N=NN1N=NC1(O)O,2
[13*]C1(N=NNC#N)ON(O)O1,2
[3*]OC(N)(N=NON=O)N[5*],2
[13*]C1(NN=NC#N)ON(O)O1,2
[1*]C(=O)N(N=NC#N)N(O)O,2
[5*]NC(N)(O)N=C=NN=O,2
[13*]C1(NN=NN=O)N=C(O)O1,2
[1*]C(=O)N=NON=NC(=N)O,2
[13*]C1(N=NOC#N)ON(N)O1,2
[5*]N1C([13*])(O)OC1(N)O,2
[13*]C1(N=NNN=O)N=C(O)O1,2
[1*]C(=O)N1N=NN=NC1(O)O,2
[13*]C12NC(N=NON=N)(O1)O2,2
[3*]OC(N)(O)N=C=NN=N,2
[13*]C1(N=NN=C=O)ON(N)O1,2
[1*]C(=O)N=NON=NC(N)=O,2
[13*]C1([13*])ON(N)O1,2
[13*]C12NC(N=NNN=O)(O1)O2,2
[3*]OC(O)(O)NC(O)(O)O,2
[1*]C(=O)N(N=NN=N)C(=O)O,2
[5*]N([5*])C(N)(N)O,2
[3*]OC(N)(O)OC(O)(O)O,2
[5*]N(C(=N)O)C(N)(O)O,2
[1*]C(=O)N=C(N)N=NON=O,2
[3*]OC(O)(O)OC(N)(O)O,2
[3*]OC(=N)NN=NN=N,2
[1*]C(=O)N=NN=NNC(=O)O,2
[3*]OC(=N)NC(N)(O)O,2
[5*]N(C(O)(O)O)C(O)(O)O,2
[13*]C12N=NN=NN1C(O)(O)O2,2
[13*]C1(N=NOC#N)ON(O)O1,2
[13*]C1([13*])ON(O)O1,2
[3*]OC(N)=NC(N)(O)O,2
[5*]NC(=N)OC(N)(O)O,2
[5*]NC(O)(O)N=C=NN=N,2
[1*]C(=O)N=C(N)ON=NN=O,2
[3*]OC(N)(N[5*])N(N=O)N=O,2
[1*]C(=O)N(N=NN=O)C(=O)O,2
[3*]ON(N)NN=NC#N,2
[5*]NC(O)(O)N=NNC#N,2
[3*]OC(=N)OC(N)(N)O,2
[1*]C(=O)N(N=NN=O)C(N)=O,2
[1*]C(=O)N(N=NN=O)C(=N)O,2
[3*]OC(O)=NC(N)(N)O,2
[3*]ON(N)N=NN=C=N,2
[3*]ON(N)N=C=NN=N,2
[3*]ON(N)N=NNC#N,2
[5*]NC(O)(O)N=NN=C=N,2
[1*]C(=O)N=C=NN=NN(O)O,2
[1*]C(=O)N=C(O)N=NON=O,2
[1*]C(=O)N=C(O)ON=NN=O,2
[5*]NC(O)(O)OC(O)(O)O,2
[3*]OC(N)=NN=NN=N,2
[3*]OC(=N)N=NN=NN,2
[1*]C(=O)N=NN=C=NN(O)O,2
[3*]OC(O)(N=NNN=O)N[5*],2
[3*]OC(O)(N[5*])NN=NN=O,2
[13*]C1(N=NN=NN)OC(=O)O1,2
[3*]OC(O)(N=NN=NO)N[5*],2
[13*]C1(NN=NN=N)OC(=O)O1,2
[13*]C1(O)NC2(N=NN2N=O)O1,2
[13*]C1(O)OC2(N=NN2N=N)O1,2
[1*]C(=O)N=C(O)N=NNN=O,2
[3*]OC(O)(N=NON=N)N[5*],2
[1*]C(=O)N=C(O)N=NN=NO,2
[3*]ON=NN=NC(=N)N,2
[1*]C(=O)N=NN=NN=C(O)O,2
[3*]OC(N)(N)N=C=NN=O,2
[13*]C12OC(N=NNN=N)(O1)O2,2
[13*]C1(O)OC2(N=NON=N2)O1,2
[13*]C1(O)OC2(N=NN=NO2)O1,2
[5*]N1C([13*])(N)OC1(O)O,2
[13*]C1(N)OC2(N=NON=N2)O1,2
[1*]C(=O)N=C(O)NN=NN=O,2
[3*]OC(=N)N=NNN=N,2
[5*]NC(N)=NN=NN=O,2
[5*]NC(O)(O)NN=NC#N,2
[5*]NC(O)=NC(N)(O)O,2
[5*]NC(=N)N=NN=NO,2
[5*]NC(=N)NN=NN=O,2
[5*]NC(=N)N=NNN=O,2
[3*]OC(O)(N[5*])ON=NN=N,2
[1*]C(=O)N=C(O)ON=NN=N,2
[13*]C1(N=NN=C=O)ON(O)O1,2
[13*]C12OC(N=NN=NN)(O1)O2,2
[13*]C12OC(NN=NN=N)(O1)O2,2
