Fragment,Count
[13*]C12OC(NN=O)(O1)O2,2
[3*]ON(N=O)N=NN=O,2
[1*]C(=O)NN1ON(N)O1,2
[5*]NC(O)(NN=N)ON=O,2
[3*]ON(N)NC(=N)O,2
[13*]C1(O)OC(N)(O)O1,2
[13*]C1(N=NC(N)=O)NOO1,2
[5*]N1C(=N)OC1(O)O,2
[3*]ON(N)OC(O)(O)O,2
[9*]n1c(=N)on1N,2
[14*]c1nn(NC(O)(O)O)o1,2
[3*]ONC(O)(O)ON=O,2
[3*]OC(N)N=N,2
[13*]C1(O)NN(N=O)O1,2
[4*]C(O)(C#N)N=NN,2
[3*]ON(O)N=C(O)O,2
[13*]C1(O)NN1N=O,2
[3*]OC(O)(N=O)ONO,2
[4*]C(N)(C#N)N=NO,2
[3*]OC(O)(N=O)ON=N,2
[3*]OC=N,2
[13*]C1(N=O)N=NN1C(O)(O)O,2
[3*]On1[nH]c(=O)n1[9*],2
[8*]C(O)(O)N=NO,2
[13*]C1(N=O)NN1N=O,2
[10*]N1N=NC1=O,2
[1*]C(=O)NN(O)ON=O,2
[13*]C1(N)NC([13*])(N=O)O1,2
[3*]ON=NNC(O)(O)O,2
[13*]C1(N)N=NC(=O)O1,2
[10*]N1C(=O)N=C1O,2
[3*]OC(N)(O)NN=N,2
[3*]ON(N=N)NN=O,2
[3*]ON(C#N)NOO,2
[3*]OC(O)(O)O[3*],2
[3*]ON(O)N=C,2
[3*]OC(=N)NO,2
[13*]C1(O)NOC(=O)N1,2
[13*]C1(O)N=NC(=N)O1,2
[5*]N1C(O)(O)NC1(O)O,2
[13*]C1(O)NC(N)(O)N1,2
[8*]C(O)(O)On1[nH]c(=N)o1,2
[3*]OON(N)O,2
[3*]ON1ON(O)O1,2
[13*]C1(N)OC2(N=N2)O1,2
[13*]C1([13*])NC(=O)O1,2
[13*]C1([13*])NC(O)(O)O1,2
[13*]C1([13*])NC(N)(O)O1,2
[3*]OC(N)(N=N)ON=N,2
[9*]n1o[nH]c1=O,2
[3*]OC(N)(OO)ON=O,2
[5*]NC(O)=NN=O,2
[3*]ON(N)N=NO,2
[1*]C(=O)N=NOC(=N)N,2
[13*]C1(N=N)OOO1,2
[13*]C1(O)ON2NN(O)N21,2
[3*]ON1NC([13*])(O)N1,2
[4*]C(N)(C#N)NN=O,2
[13*]C1(O)OC([13*])(N=O)O1,2
[13*]C1(O)NN1,2
[13*]C1(O)OC(=O)N1N(O)O,2
[13*]C12OC(=O)NN(O1)O2,2
[3*]OC(N)(N)NN(O)N=O,2
[3*]OC(O)(O)N=NN(O)O,2
[10*]N1C(=O)NC2(O)NN1O2,2
[13*]C1(N=O)N=N1,2
[1*]C([6*])=O,2
[3*]OC(N)(N)N=NN=O,2
[3*]OC(N)(N=N)N=O,2
[13*]C1(N)OC([13*])(N=O)O1,2
[3*]OC(O)(O)ON(N)N=O,2
[4*]C(N)(C#N)N=O,2
[3*]OC(=N)N=C(O)O,2
[13*]C1(O)OC(O)(O)O1,2
[13*]C1([13*])N=NC(O)(O)N1,2
[3*]OC(O)=NC(=N)O,2
[13*]C1(N)OC([13*])(N=N)O1,2
[1*]C(=O)N(N=O)N(O)O,2
[13*]C1(N=NO)N=N1,2
[4*]C(O)(O)C(=N)O,2
[13*]C1(N=O)OC1=O,2
[9*]n1nnn1N,2
[13*]C1(O)OC(N=O)(NN=N)O1,2
[13*]C12NN(O)ON(N1)O2,2
[3*]ON(N)OC#N,2
