SMILES,MW,HBA,HBD,LogP,Valid,Error,Fragments
O=NN1C(OC(=O)O)(O)OC(N=N1)(N)N,222.034881912,10,4,-1.8059,True,False,"['[1*]C(=O)O', '[3*]O[3*]', '[13*]C1(O)OC(N)(N)N=NN1N=O']"
N=NN(N=O)C1(N)OC(N1C(=O)O)(O)O,222.034881912,9,5,-1.90813,True,False,"['[1*]C(=O)O', '[5*]N1C(O)(O)OC1(N)N(N=N)N=O']"
O=NN(N=O)C1(N)NC(OC(=N)O1)(O)O,222.034881912,11,5,-2.61173,True,False,['N=C1OC(O)(O)NC(N)(N(N=O)N=O)O1']
N#CN(N=N)C1(O)OC(NN(O)O1)(O)O,222.034881912,11,6,-2.92745,False,False,['N#CN(N=N)C1(O)ON(O)NC(O)(O)O1']
N#CON=NC(NN1OC(N1)(O)O)(O)O,222.034881912,12,6,-3.70052,False,False,['N#CON=NC(O)(O)NN1NC(O)(O)O1']
O=C=NN=NC(NN1OC(N1)(O)O)(O)O,222.034881912,11,6,-3.8624,False,False,['O=C=NN=NC(O)(O)NN1NC(O)(O)O1']
OC(=O)OC1(O)NC(N=NN=NN1)(O)O,222.034881912,11,6,-2.1923000000000004,False,False,"['[1*]C(=O)O', '[3*]O[3*]', '[13*]C1(O)NN=NN=NC(O)(O)N1']"
O=NN=NOC(OC1(N)OC(=O)O1)(N)N,222.034881912,10,3,-1.6662999999999997,True,False,"['[13*]C1(N)OC(=O)O1', '[3*]OC(N)(N)ON=NN=O']"
O=NNN=NC(NC1(O)OC(=O)O1)(O)N,222.034881912,11,5,-2.4531,True,False,"['[5*]NC(N)(O)N=NNN=O', '[13*]C1(O)OC(=O)O1']"
N#CON=NC(OC1(N)ON(O)N1)(O)O,222.034881912,12,5,-2.82522,True,False,"['[13*]C1(N)NN(O)O1', '[3*]OC(O)(O)N=NOC#N']"
NC(OC(O)(O)O)=NC1(O)ON=NN=N1,222.034881912,11,5,-2.725899999999999,True,False,['NC(=NC1(O)N=NN=NO1)OC(O)(O)O']
O=NN=NNC1(O)N=C(O)N1C(O)(O)O,222.034881912,8,6,-2.954,True,False,['O=NN=NNC1(O)N=C(O)N1C(O)(O)O']
N#CN(N=N)C1(O)ON(NC(O)(O)O)O1,222.034881912,11,6,-3.4093500000000003,False,False,['N#CN(N=N)C1(O)ON(NC(O)(O)O)O1']
O=NN=NNC1(N)OC(OC(O)(O)O)=N1,222.034881912,9,5,-2.8144,True,False,['NC1(NN=NN=O)N=C(OC(O)(O)O)O1']
O=NN=NNC1(N)OC(NC(=O)O1)(O)O,222.034881912,8,5,-2.4531000000000005,True,False,['NC1(NN=NN=O)OC(=O)NC(O)(O)O1']
ON=NN=NC1(O)OC(OC(=O)O1)(N)N,222.034881912,9,4,-1.4893,True,False,['NC1(N)OC(=O)OC(O)(N=NN=NO)O1']
O=NON=NC1(O)OC(N=C(O)N1)(O)N,222.034881912,11,5,-2.2487000000000004,True,False,['NC1(O)N=C(O)NC(O)(N=NON=O)O1']
N#CNN=NC1(O)OC(NN(O)O1)(O)O,222.034881912,11,6,-3.21862,False,False,['N#CNN=NC1(O)ON(O)NC(O)(O)O1']
N#CON=NC1(N)OC(ON(O)O)(O)N1,222.034881912,12,5,-2.34332,True,False,"['[13*]C1(O)NC(N)(N=NOC#N)O1', '[3*]ON(O)O']"
O=C=NN=NC1(O)OC(NN(O)N)(O)O1,222.034881912,11,5,-2.9871000000000003,True,False,['NN(O)NC1(O)OC(O)(N=NN=C=O)O1']
OC(=O)NC1(ON=NN=N1)NC(O)(O)O,222.034881912,10,6,-2.1923000000000004,True,False,"['[13*]C1([13*])N=NN=NO1', '[1*]C(=O)O', '[5*]NC(O)(O)O', '[5*]N[5*]']"
N#CN(N=O)C1(ON(O)O1)OC(N)(O)N,222.034881912,11,4,-2.83222,True,False,"['[3*]OC(N)(N)O', '[13*]C1(N(C#N)N=O)ON(O)O1']"
O=NON=NC1(OC(=O)O1)NC(N)(O)N,222.034881912,12,4,-2.0597,True,False,"['[5*]NC(N)(N)O', '[13*]C1(N=NON=O)OC(=O)O1']"
N=NON=NC1(OC(=O)O1)NC(N)(O)O,222.034881912,12,5,-1.76153,True,False,"['[13*]C1(N=NON=N)OC(=O)O1', '[5*]NC(N)(O)O']"
N=NN=NOC1(OC(=O)O1)NC(N)(O)O,222.034881912,10,5,-1.76153,True,False,"['[13*]C1([13*])OC(=O)O1', '[3*]ON=NN=N', '[5*]NC(N)(O)O']"
ON=NN=NC1(OC(=N)O1)NC(O)(O)O,222.034881912,9,6,-2.03433,True,False,"['[13*]C1(N=NN=NO)OC(=N)O1', '[5*]NC(O)(O)O']"
N=NN=NOC1(OC(O)=N1)NC(O)(O)O,222.034881912,9,6,-1.95053,True,False,"['[5*]NC(O)(O)O', '[13*]C1([13*])N=C(O)O1', '[3*]ON=NN=N']"
O=NNN=NC1(NC(=O)N1)OC(O)(O)O,222.034881912,9,6,-2.8465000000000003,True,False,"['[13*]C1(N=NNN=O)NC(=O)N1', '[3*]OC(O)(O)O']"
N=NON=NC1(OC(=O)O)OC(N1)(O)N,222.034881912,11,5,-1.1958300000000004,True,False,"['[1*]C(=O)O', '[3*]O[3*]', '[13*]C1(N=NON=N)NC(N)(O)O1']"
O=NN=NNC1(NC(=O)O)OC(O1)(O)N,222.034881912,7,5,-1.8874,True,False,"['[1*]C(=O)O', '[5*]N[5*]', '[13*]C1(NN=NN=O)OC(N)(O)O1']"
N=NNN=NC1(OC(=O)N)OC(O1)(O)O,222.03488191200003,10,5,-1.76153,True,False,"['[13*]C1(N=NNN=N)OC(O)(O)O1', '[3*]O[3*]', '[1*]C(N)=O']"
N=NN1C2(O)OC(N2C(N=N1)(O)O)(O)O,222.034881912,11,6,-3.2572300000000003,False,False,['N=NN1N=NC(O)(O)N2C(O)(O)OC12O']
O=NN(N=O)C1(N)NC2(O)OC(O1)(N)O2,222.034881912,11,4,-2.9386,True,False,['NC12OC(O)(NC(N)(N(N=O)N=O)O1)O2']
O=NN1C(NC2(N=N1)OC(O2)(O)O)(O)N,222.034881912,11,5,-3.2435000000000005,True,False,['NC1(O)NC2(N=NN1N=O)OC(O)(O)O2']
NC12NC(N=NON=NC(O2)(O)O1)(O)O,222.034881912,12,5,-2.8431,True,False,['NC12NC(O)(O)N=NON=NC(O)(O1)O2']
OC1(O)NC2(N1)OC(ON=NN=N2)(O)O,222.034881912,12,6,-3.2364999999999995,False,False,['OC1(O)NC2(N=NN=NOC(O)(O)O2)N1']
N=NN=NOC(NC12OC(O2)(N)O1)(O)O,222.034881912,10,5,-2.2400300000000004,True,False,"['[5*]NC(O)(O)ON=NN=N', '[13*]C12OC(N)(O1)O2']"
N=NN=NOC(OC12OC(N2)(N)O1)(O)O,222.034881912,10,5,-2.2400300000000004,True,False,"['[13*]C12NC(N)(O1)O2', '[3*]OC(O)(O)ON=NN=N']"
NC1(O)OC2(O)OC(NN=NN=N2)(O)O1,222.034881912,12,5,-2.8430999999999997,True,False,['NC1(O)OC2(O)N=NN=NNC(O)(O1)O2']
O=NN=NOC1(N)OC2(O)NC(N12)(O)O,222.034881912,10,5,-3.2435,True,False,"['[13*]C1(N)OC2(O)NC(O)(O)N12', '[3*]ON=NN=O']"
N=NN=NOC1(N)OC2(O)OC(N12)(O)O,222.034881912,10,5,-2.55193,True,False,"['[13*]C1(N)OC2(O)OC(O)(O)N12', '[3*]ON=NN=N']"
N=NON=NC1(N)OC2(OC(O2)(O)O)N1,222.034881912,12,5,-2.2400300000000004,True,False,['N=NON=NC1(N)NC2(O1)OC(O)(O)O2']
O=NN=NNC1(O)OC2(OC(O2)(O)N)N1,222.034881912,9,5,-2.9316000000000004,True,False,['NC1(O)OC2(NC(O)(NN=NN=O)O2)O1']
N=NNN=NC1(O)OC2(O)OC(O2)(N)O1,222.034881912,11,5,-2.2400300000000004,True,False,['N=NNN=NC1(O)OC2(N)OC(O)(O1)O2']
N=NON=NC1(O)OC2(O)NC(N2)(O)O1,222.034881912,12,6,-2.6334300000000006,False,False,['N=NON=NC1(O)OC2(O)NC(O)(N2)O1']
O=NN=NNC12OC(N2C(N)(O)O)(O)O1,222.034881912,9,5,-3.2435,True,False,['NC(O)(O)N1C2(O)OC1(NN=NN=O)O2']
NC1(O)NC2(N=NON=N2)OC(O1)(O)O,222.034881912,12,5,-2.8430999999999997,True,False,['NC1(O)NC2(N=NON=N2)OC(O)(O)O1']
O=NON=NC12OC(OC(O2)(N)O1)(N)N,222.034881912,12,3,-2.1448,True,False,['NC1(N)OC2(N)OC(N=NON=O)(O1)O2']
O=NN=NOC12OC(NC(N2)(O)O1)(O)N,222.034881912,10,5,-2.9316000000000004,True,False,"['[13*]C12NC(O)(NC(N)(O)O1)O2', '[3*]ON=NN=O']"
N=NN=NNC12OC(OC(N2)(O)O1)(O)O,222.03488191200003,9,6,-2.63343,True,False,['N=NN=NNC12NC(O)(OC(O)(O)O1)O2']
O=C=NC(ON=NC(ON=O)(O)O)(N)N,222.034881912,12,4,-2.4714,True,False,['NC(N)(N=C=O)ON=NC(O)(O)ON=O']
O=NN(C(O)(O)O)C(OC#N)(N)N=NO,222.034881912,10,5,-2.5329199999999994,True,False,['N#COC(N)(N=NO)N(N=O)C(O)(O)O']
O=C=NC(N=NNC(O)(O)O)(O)N=NO,222.034881912,10,6,-2.6878,True,False,['O=C=NC(O)(N=NO)N=NNC(O)(O)O']
O=NNC(OC(N=C=O)(N)ON=N)(O)O,222.034881912,11,5,-2.26173,True,False,['N=NOC(N)(N=C=O)OC(O)(O)NN=O']
O=NOC(OC(N=C=N)(O)N=NO)(O)N,222.034881912,11,5,-1.5390300000000003,True,False,['N=C=NC(O)(N=NO)OC(N)(O)ON=O']
N=C=NC(N=NO)(ON=O)NC(O)(O)O,222.034881912,11,6,-1.93243,False,False,['N=C=NC(N=NO)(NC(O)(O)O)ON=O']
N#CNN1N=NN1C(OC(O)(O)O)(O)O,222.034881912,12,6,-4.738619999999999,False,False,"['[8*]C(O)(O)OC(O)(O)O', '[9*]n1nnn1NC#N']"
N=NN(C(O)(O)O)C(OC1=NN=N1)(O)O,222.034881912,11,6,-2.8281300000000003,False,False,['N=NN(C(O)(O)O)C(O)(O)OC1=NN=N1']
N#COC(NN1ON=N1)(N)OC(O)(O)O,222.034881912,12,5,-3.91292,True,False,['N#COC(N)(Nn1nno1)OC(O)(O)O']
O=NN1C(NC(N(N=O)C1=N)(O)O)(O)O,222.034881912,10,6,-3.31703,True,False,['N=C1N(N=O)C(O)(O)NC(O)(O)N1N=O']
O=NN1C(N=C1ON=NC(O)(O)O)(O)N,222.034881912,11,5,-3.1263000000000005,True,False,['NC1(O)N=C(ON=NC(O)(O)O)N1N=O']
O=NOC(=N)N=NN1C(NC1(O)O)(O)O,222.034881912,10,6,-2.91663,True,False,['N=C(N=NN1C(O)(O)NC1(O)O)ON=O']
O=C1NN=NC(OC(NN=N1)(O)O)(O)O,222.034881912,10,6,-2.758,True,False,['O=C1N=NNC(O)(O)OC(O)(O)N=NN1']
O=NN=C(N1C(N=N1)(O)N)OC(O)(O)O,222.034881912,10,5,-3.1263,True,False,['NC1(O)N=NN1C(=NN=O)OC(O)(O)O']
O=NOC=1OC(OC(N=NN1)(O)O)(N)N,222.034881912,12,4,-2.4210000000000003,True,False,['NC1(N)OC(ON=O)=NN=NC(O)(O)O1']
O=C=NN1NC(OC(ON=N1)(O)N)(O)O,222.034881912,12,5,-3.469,True,False,['NC1(O)ON=NN(N=C=O)NC(O)(O)O1']
O=C=NN1NC(OC(N=NO1)(O)O)(O)N,222.034881912,12,5,-3.469,True,False,['NC1(O)NN(N=C=O)ON=NC(O)(O)O1']
O=NNN1OC(NC(N=C=N1)(O)O)(O)O,222.034881912,11,6,-3.7101,False,False,['O=NNN1N=C=NC(O)(O)NC(O)(O)O1']
O=NN1C(N=NN=C1O)(O)NC(O)(O)O,222.034881912,10,6,-2.954,True,False,"['[13*]C1(O)N=NN=C(O)N1N=O', '[5*]NC(O)(O)O']"
O=C1N=NOC(N=NO1)(N)OC(N)(O)O,222.034881912,11,4,-1.9712,True,False,"['[13*]C1(N)N=NOC(=O)N=NO1', '[3*]OC(N)(O)O']"
ON1N=NOC(N=C=N1)(O)OC(N)(O)O,222.034881912,12,5,-2.7463,True,False,"['[13*]C1(O)N=C=NN(O)N=NO1', '[3*]OC(N)(O)O']"
O=NN=C1OC(NN=N1)(N)OC(O)(O)O,222.034881912,10,5,-2.8144,True,False,"['[13*]C1(N)NN=NC(=NN=O)O1', '[3*]OC(O)(O)O']"
ON=NC1=NC(NN=N1)(O)OC(O)(O)O,222.034881912,11,6,-2.6374,False,False,"['[13*]C1(O)N=C(N=NO)N=NN1', '[3*]OC(O)(O)O']"
O=C=NN1OC(N=NO1)(O)NC(N)(O)O,222.034881912,12,5,-3.4690000000000003,True,False,"['[13*]C1(O)N=NON(N=C=O)O1', '[5*]NC(N)(O)O']"
N=NON1OC(N=C=N1)(O)OC(N)(O)O,222.034881912,12,5,-2.62513,True,False,"['[13*]C1(O)N=C=NN(ON=N)O1', '[3*]OC(N)(O)O']"
N=NN(C(=O)ON=N)C1(N)OC(O1)(O)O,222.034881912,11,5,-1.4703600000000003,True,False,"['[3*]ON=N', '[1*]C(=O)N(N=N)C1(N)OC(O)(O)O1']"
O=NN(N(O)N=C=O)C1(N)OC(O1)(O)N,222.034881912,11,4,-2.9941,True,False,['NC1(O)OC(N)(N(N=O)N(O)N=C=O)O1']
O=NOC(=N)ON=NC1(O)OC(N1)(O)N,222.034881912,12,5,-2.21133,True,False,['N=C(ON=O)ON=NC1(O)NC(N)(O)O1']
O=NN=C(O)ON=NC1(O)OC(N1)(O)N,222.034881912,10,5,-2.2487000000000004,True,False,['NC1(O)NC(O)(N=NOC(O)=NN=O)O1']
NN=NC(=O)N=NOC1(O)OC(N1)(O)O,222.034881912,9,5,-2.3646000000000003,True,False,"['[3*]ON=NC(=O)N=NN', '[13*]C1(O)NC(O)(O)O1']"
N=NOC(=NN=O)OC1(N)OC(N1)(O)O,222.034881912,11,5,-2.21133,True,False,"['[13*]C1(N)NC(O)(O)O1', '[3*]OC(=NN=O)ON=N']"
N=C=NN(ON=O)OC1(O)OC(O1)(N)N,222.034881912,12,4,-2.32023,True,False,"['[3*]ON(N=C=N)ON=O', '[13*]C1(O)OC(N)(N)O1']"
N#CN(C(=O)O)N(O)N=NNC(O)(O)O,222.034881912,8,6,-2.48632,True,False,['N#CN(C(=O)O)N(O)N=NNC(O)(O)O']
O=NN(C(=N)OC(N)(O)O)C(=N)ON=O,222.034881912,11,5,-1.89146,True,False,['N=C(ON=O)N(N=O)C(=N)OC(N)(O)O']
