SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,chemval,chem_violation
CC1C(C1O)(O)O,104.047344116,3,3,-1.3221,True,False,False,Geminal diol/triol
OCOC(=C)OC,104.047344116,3,1,0.07040000000000002,True,False,False,"Geminal diol/triol, Enol"
O=COC(C)OC,104.047344116,3,0,0.15179999999999993,True,False,False,Geminal diol/triol
CCOC(=O)OC,104.047344116,3,0,0.7893000000000001,True,False,False,Geminal diol/triol
C=COC(O)OC,104.047344116,3,1,0.06879999999999992,True,False,False,"Geminal diol/triol, Enol"
OCCC(=O)OC,104.047344116,3,1,-0.45820000000000016,True,False,True,
OCC=C(O)OC,104.047344116,3,2,0.02449999999999991,True,False,False,"Geminal diol/triol, Enol"
O=CCC(O)OC,104.047344116,3,1,-0.4598,True,False,False,Geminal diol/triol
OC=CC(O)OC,104.047344116,3,2,0.02289999999999992,True,False,False,"Geminal diol/triol, Enol"
OCOC(=O)CC,104.04734411599999,3,1,-0.11060000000000003,True,False,False,Geminal diol/triol
OCOC(O)=CC,104.04734411599999,3,2,0.37210000000000004,True,False,False,"Geminal diol/triol, Enol"
O=COC(O)CC,104.04734411599999,3,1,-0.11220000000000008,True,False,False,Geminal diol/triol
OCOC(O)C=C,104.04734411599999,3,2,-0.5428000000000002,True,False,False,Geminal diol/triol
CCOC(=C)OO,104.047344116,3,1,0.9837,True,False,False,"Geminal diol/triol, Enol"
C=COC(C)OO,104.047344116,3,1,0.9821,True,False,False,"Geminal diol/triol, Enol"
OCCC(=C)OO,104.047344116,3,2,0.37209999999999993,True,False,False,Enol
OCC=C(C)OO,104.047344116,3,2,0.37210000000000004,True,False,False,Enol
O=CCC(C)OO,104.047344116,3,1,0.45349999999999996,True,False,True,
OC=CC(C)OO,104.047344116,3,2,0.9361999999999999,True,False,False,Enol
OCOC(=C)CO,104.047344116,3,2,-0.5412000000000001,True,False,False,"Geminal diol/triol, Enol"
OCOC(C)=CO,104.047344116,3,2,0.37210000000000004,True,False,False,"Geminal diol/triol, Enol"
O=COC(C)CO,104.047344116,3,1,-0.45980000000000015,True,False,True,
OCOC(C)C=O,104.047344116,3,1,-0.4598,True,False,False,Geminal diol/triol
CCCC(=O)OO,104.047344116,3,1,0.8027,True,False,True,
CCC=C(O)OO,104.047344116,3,2,1.2854,True,False,False,"Geminal diol/triol, Enol"
C=CCC(O)OO,104.047344116,3,2,0.37049999999999994,True,False,False,Geminal diol/triol
CC=CC(O)OO,104.047344116,3,2,0.3705,True,False,False,Geminal diol/triol
CCOC(=O)CO,104.047344116,3,1,-0.4581999999999999,True,False,True,
CCOC(O)=CO,104.047344116,3,2,0.9378,True,False,False,"Geminal diol/triol, Enol"
C=COC(O)CO,104.047344116,3,2,-0.5428000000000002,True,False,False,"Geminal diol/triol, Enol"
CCOC(O)C=O,104.047344116,3,1,-0.4598,True,False,False,Geminal diol/triol
OCCC(=O)CO,104.047344116,3,2,-1.0698000000000003,True,False,True,
OCC=C(O)CO,104.047344116,3,3,-0.5871,True,False,False,Enol
OCCC(O)=CO,104.047344116,3,3,0.32619999999999993,True,False,False,Enol
O=CCC(O)CO,104.047344116,3,2,-1.0714000000000001,True,False,True,
OC=CC(O)CO,104.047344116,3,3,-0.5887000000000002,True,False,False,Enol
OCCC(O)C=O,104.047344116,3,2,-1.0714000000000001,True,False,True,
COOC(=C)OC,104.047344116,3,0,0.6819999999999999,True,False,False,"Geminal diol/triol, Enol"
