SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,Fragments
COC=C(O)CO,104.047344116,3,2,0.0244999999999999,True,False,['COC=C(O)CO']
COCC(O)=CO,104.047344116,3,2,0.5902000000000001,True,False,"['[3*]OC', '[4*]CC(O)=CO']"
COCC(O)C=O,104.047344116,3,1,-0.8074000000000001,True,False,"['[3*]OC', '[4*]CC(O)C=O']"
OC(O)=C(C)OC,104.047344116,3,2,0.9378,True,False,['COC(C)=C(O)O']
OC(O)C(=C)OC,104.047344116,3,2,-0.5428000000000002,True,False,['C=C(OC)C(O)O']
OC(=O)C(C)OC,104.047344116,2,1,0.1059000000000001,True,False,"['[3*]OC', '[4*]C(C)C(=O)O']"
CC(O)=C(O)OC,104.047344116,3,2,0.9378,True,False,['COC(O)=C(C)O']
CC(O)C(=O)OC,104.047344116,3,1,-0.4598000000000002,True,False,"['[3*]OC', '[1*]C(=O)C(C)O']"
CC(=O)C(O)OC,104.047344116,3,1,-0.4598,True,False,"['[3*]OC', '[4*]C(O)C(C)=O']"
C=C(O)C(O)OC,104.047344116,3,2,0.0228999999999999,True,False,"['[3*]OC', '[4*]C(O)C(=C)O']"
OC(O)=C(O)CC,104.047344116,3,3,1.2395,True,False,['CCC(O)=C(O)O']
OC(O)C(=O)CC,104.047344116,3,2,-0.7238,True,False,['CCC(=O)C(O)O']
OC(O)C(O)=CC,104.047344116,3,3,-0.2411000000000001,True,False,"['[7*]CC', '[7*]C(O)C(O)O']"
OC(=O)C(O)CC,104.047344116,2,2,-0.1581000000000001,True,False,['CCC(O)C(=O)O']
OC(O)C(O)C=C,104.047344116,3,3,-1.1560000000000004,True,False,['C=CC(O)C(O)O']
CC(O)=C(C)OO,104.047344116,3,2,1.2854,True,False,"['[7*]C(C)OO', '[7*]C(C)O']"
CC(O)C(=C)OO,104.047344116,3,2,0.3704999999999999,True,False,['C=C(OO)C(C)O']
CC(=O)C(C)OO,104.047344116,3,1,0.4534999999999999,True,False,"['[4*]C(C)C(C)=O', '[3*]OO']"
C=C(O)C(C)OO,104.047344116,3,2,0.9362,True,False,"['[3*]OO', '[4*]C(C)C(=C)O']"
OC(O)=C(C)CO,104.047344116,3,3,0.3262,True,False,['CC(CO)=C(O)O']
OC(O)C(=C)CO,104.047344116,3,3,-1.1544,True,False,['C=C(CO)C(O)O']
OC(O)C(C)=CO,104.047344116,3,3,-0.2411000000000001,True,False,['CC(=CO)C(O)O']
OC(=O)C(C)CO,104.047344116,2,2,-0.3005999999999999,True,False,['CC(CO)C(=O)O']
OC(O)C(C)C=O,104.047344116,3,2,-0.8679000000000001,True,False,['CC(C=O)C(O)O']
CC(C)=C(O)OO,104.047344116,3,2,1.2854,True,False,['CC(C)=C(O)OO']
CC(C)C(=O)OO,104.047344116,3,1,0.6586000000000001,True,False,"['[3*]OO', '[1*]C(=O)C(C)C']"
CC(=C)C(O)OO,104.047344116,3,2,0.3705,True,False,"['[4*]C(O)C(=C)C', '[3*]OO']"
CC(O)=C(O)CO,104.047344116,3,3,0.3262,True,False,"['[7*]C(C)O', '[7*]C(O)CO']"
CC(O)C(=O)CO,104.047344116,3,2,-1.0714,True,False,['CC(O)C(=O)CO']
CC(O)C(O)=CO,104.047344116,3,3,0.3245999999999999,True,False,['CC(O)C(O)=CO']
CC(=O)C(O)CO,104.047344116,3,2,-1.0714,True,False,['CC(=O)C(O)CO']
C=C(O)C(O)CO,104.047344116,3,3,-0.5887,True,False,['C=C(O)C(O)CO']
CC(O)C(O)C=O,104.047344116,3,2,-1.0730000000000002,True,False,['CC(O)C(O)C=O']
CC1(OC)OCO1,104.047344116,3,0,0.3107999999999999,True,False,"['[3*]OC', '[13*]C1(C)OCO1', '[4*]C1(C)OCO1']"
OC1(OC)OCC1,104.047344116,3,1,-0.3007999999999999,True,False,"['[3*]OC', '[13*]C1(O)CCO1']"
OC1(CC)OCO1,104.047344116,3,1,0.0467999999999999,True,False,"['[8*]CC', '[13*]C1(O)OCO1']"
CC1(OO)OCC1,104.047344116,3,1,0.6125,True,False,"['[4*]C1(C)CCO1', '[3*]OO', '[13*]C1(C)CCO1']"
CC1(CO)OCO1,104.047344116,3,1,-0.3007999999999999,True,False,"['[13*]C1(C)OCO1', '[8*]CO']"
OC1(OO)CCC1,104.047344116,3,2,0.3485,True,False,"['[15*]C1(O)CCC1', '[3*]OO']"
OC1(CO)OCC1,104.047344116,3,2,-0.9124,True,False,"['[13*]C1(O)CCO1', '[8*]CO']"
CC1(OC)OOC1,104.047344116,3,0,0.3107999999999999,True,False,"['[3*]OC', '[13*]C1(C)COO1', '[4*]C1(C)COO1']"
CC1(CC)OOO1,104.047344116,3,0,1.006,True,False,"['[8*]CC', '[13*]C1(C)OOO1']"
OC1(OC)COC1,104.047344116,3,1,-0.6484000000000001,True,False,"['[3*]OC', '[15*]C1(O)COC1']"
OC1(CC)OOC1,104.047344116,3,1,0.0467999999999999,True,False,"['[13*]C1(O)COO1', '[8*]CC']"
CC1(OO)COC1,104.047344116,3,1,0.2648999999999999,True,False,"['[15*]C1(C)COC1', '[3*]OO', '[4*]C1(C)COC1']"
CC1(CO)OOC1,104.047344116,3,1,-0.3007999999999999,True,False,"['[13*]C1(C)COO1', '[8*]CO']"
OC1(CO)COC1,104.047344116,3,2,-1.26,True,False,"['[15*]C1(O)COC1', '[8*]CO']"
OCOC1(O)CC1,104.047344116,3,2,-0.5648000000000002,True,False,"['[3*]OCO', '[15*]C1(O)CC1']"
CCOC1(C)OO1,104.047344116,3,0,0.6584,True,False,"['[4*]C1(C)OO1', '[3*]O[3*]', '[4*]CC', '[13*]C1(C)OO1']"
OCCC1(C)OO1,104.047344116,3,1,0.0467999999999999,True,False,"['[8*]CCO', '[13*]C1(C)OO1']"
OCOC1(C)OC1,104.047344116,3,1,-0.3007999999999999,True,False,"['[3*]OCO', '[13*]C1(C)CO1', '[4*]C1(C)CO1']"
CCCC1(O)OO1,104.047344116,3,1,0.3943999999999999,True,False,"['[13*]C1(O)OO1', '[8*]CCC']"
CCOC1(O)OC1,104.047344116,3,1,-0.3007999999999999,True,False,"['[3*]O[3*]', '[4*]CC', '[13*]C1(O)CO1']"
OCCC1(O)OC1,104.047344116,3,2,-0.9124,True,False,"['[8*]CCO', '[13*]C1(O)CO1']"
OOOC1(C)CC1,104.047344116,3,1,0.9601,True,False,"['[3*]OOO', '[15*]C1(C)CC1', '[4*]C1(C)CC1']"
COOC1(O)CC1,104.047344116,3,1,0.0468,True,False,"['[3*]OOC', '[15*]C1(O)CC1']"
OOCC1(O)CC1,104.047344116,3,2,0.0008999999999999,True,False,"['[3*]OO', '[15*]C1(O)CC1', '[4*]C[8*]']"
COCC1(C)OO1,104.047344116,3,0,0.3108000000000001,True,False,"['[3*]OC', '[13*]C1(C)OO1', '[4*]C[8*]']"
COOC1(C)OC1,104.047344116,3,0,0.3107999999999999,True,False,"['[13*]C1(C)CO1', '[3*]OOC', '[4*]C1(C)CO1']"
OOCC1(C)OC1,104.047344116,3,1,0.2648999999999999,True,False,"['[3*]OO', '[13*]C1(C)CO1', '[4*]C[8*]']"
COCC1(O)OC1,104.047344116,3,1,-0.6483999999999999,True,False,"['[3*]OC', '[13*]C1(O)CO1', '[4*]C[8*]']"
OC1C(OC)(C)O1,104.047344116,3,1,-0.3024,True,False,"['[3*]OC', '[4*]C1(C)OC1O', '[13*]C1(C)OC1O']"
CC1C(OC)(O)O1,104.047344116,3,1,-0.3024,True,False,"['[3*]OC', '[13*]C1(O)OC1C']"
OC1C(OC)(O)C1,104.047344116,3,2,-0.914,True,False,"['[3*]OC', '[15*]C1(O)CC1O']"
OC1C(CC)(O)O1,104.047344116,3,2,-0.5664,True,False,"['[13*]C1(O)OC1O', '[8*]CC']"
CC1C(OO)(C)O1,104.047344116,3,1,0.6109,True,False,"['[13*]C1(C)OC1C', '[3*]OO', '[4*]C1(C)OC1C']"
OC1C(OO)(C)C1,104.047344116,3,2,-0.0006999999999999,True,False,"['[4*]C1(C)CC1O', '[3*]OO', '[15*]C1(C)CC1O']"
OC1C(CO)(C)O1,104.047344116,3,2,-0.914,True,False,"['[13*]C1(C)OC1O', '[8*]CO']"
