SMILES,MW,HBA,HBD,LogP,Valid,Error
O=C=NN1NC(OC(N=NO1)(O)O)(O)N,222.034881912,12,5,-3.469,True,False
O=NNN1OC(NC(N=C=N1)(O)O)(O)O,222.034881912,11,6,-3.7101,False,False
O=NN1C(N=NN=C1O)(O)NC(O)(O)O,222.034881912,10,6,-2.954,True,False
O=C1N=NOC(N=NO1)(N)OC(N)(O)O,222.034881912,11,4,-1.9712,True,False
ON1N=NOC(N=C=N1)(O)OC(N)(O)O,222.034881912,12,5,-2.7463,True,False
O=NN=C1OC(NN=N1)(N)OC(O)(O)O,222.034881912,10,5,-2.8144,True,False
ON=NC1=NC(NN=N1)(O)OC(O)(O)O,222.034881912,11,6,-2.6374,False,False
O=C=NN1OC(N=NO1)(O)NC(N)(O)O,222.034881912,12,5,-3.4690000000000003,True,False
N=NON1OC(N=C=N1)(O)OC(N)(O)O,222.034881912,12,5,-2.62513,True,False
N=NN(C(=O)ON=N)C1(N)OC(O1)(O)O,222.034881912,11,5,-1.4703600000000003,True,False
O=NN(N(O)N=C=O)C1(N)OC(O1)(O)N,222.034881912,11,4,-2.9941,True,False
O=NOC(=N)ON=NC1(O)OC(N1)(O)N,222.034881912,12,5,-2.2113300000000002,True,False
O=NN=C(O)ON=NC1(O)OC(N1)(O)N,222.034881912,10,5,-2.2487000000000004,True,False
NN=NC(=O)N=NOC1(O)OC(N1)(O)O,222.034881912,9,5,-2.3646000000000003,True,False
N=NOC(=NN=O)OC1(N)OC(N1)(O)O,222.034881912,11,5,-2.2113300000000002,True,False
N=C=NN(ON=O)OC1(O)OC(O1)(N)N,222.034881912,12,4,-2.32023,True,False
N#CN(C(=O)O)N(O)N=NNC(O)(O)O,222.034881912,8,6,-2.48632,True,False
O=NN(C(=N)OC(N)(O)O)C(=N)ON=O,222.034881912,11,5,-1.89146,True,False
O=NN(C(O)=N)C(=NN=N)OC(O)(O)O,222.034881912,9,6,-1.6306600000000002,True,False
N=NN(C(=O)O)N(OC#N)NC(O)(O)O,222.034881912,10,6,-2.36515,True,False
O=C=NC(=N)N(N=NN(O)O)C(O)(O)O,222.034881912,9,6,-2.4902300000000004,True,False
OC(O)=NN=NC(=N)ON=NC(O)(O)O,222.034881912,8,6,-1.2676299999999998,True,False
NC(=N)ON=NC(=O)N=NOC(O)(O)O,222.034881912,9,5,-1.64433,True,False
ON(O)N=C=NN(O)N=C=NC(O)(O)O,222.034881912,12,6,-2.561,False,False
O=NOC(=O)ON=NC(=N)OC(N)(O)N,222.034881912,11,4,-1.3394300000000006,True,False
O=NNC(=N)ON=NC(=O)OC(N)(O)O,222.034881912,10,5,-1.7328299999999999,True,False
O=NN=C(O)N=NOC(N)=NC(O)(O)O,222.034881912,8,5,-2.1315,True,False
N=NNC(=O)N=NOC(O)=NC(O)(O)O,222.034881912,9,6,-1.4720300000000002,True,False
O=NN=C(O)N=NNC(O)=NC(O)(O)O,222.034881912,7,6,-1.9591999999999996,True,False
N#CNN(O)ON=NC(=O)NC(O)(O)O,222.034881912,10,6,-2.74012,True,False
N=NON(O)N=C=NC(=N)OC(O)(O)O,222.034881912,11,6,-1.81636,False,False
O=NOC(N=NOC(=O)N)=NC(N)(O)O,222.034881912,10,4,-1.9425,True,False
ON=NC(ON=NC(O)=N)=NC(O)(O)O,222.034881912,8,6,-1.3514300000000001,True,False
O=NN(C(=N)NC(=O)N=NO)C(O)(O)O,222.034881912,8,6,-1.9562300000000001,True,False
N#CN(N(O)OC(=N)ON=O)C(N)(O)O,222.034881912,12,5,-2.50535,True,False
N#CN(C(N)=NN(O)ON=O)C(O)(O)O,222.034881912,10,5,-3.1084199999999997,True,False
O=NOC(=O)OC(=O)NN=NC(N)(O)N,222.034881912,11,4,-1.5812000000000004,True,False
O=NOC(=NC(=O)ON=N)OC(N)(O)N,222.034881912,11,4,-1.3394300000000006,True,False
O=NNN(NC(=O)N=C=O)OC(N)(O)O,222.034881912,9,5,-3.0789999999999997,True,False
O=NON(N=C(N)OC#N)NC(O)(O)O,222.034881912,11,5,-3.2784199999999997,True,False
N=NNN(OC(=N)OC#N)OC(O)(O)O,222.034881912,11,6,-2.37718,False,False
NN=NN(OC(=O)OC#N)NC(O)(O)O,222.034881912,10,5,-2.82862,True,False
O=NNC(ON(N)OC#N)=NC(O)(O)O,222.034881912,11,5,-3.2784199999999992,True,False
O=C=NN(ON(O)OC#N)NC(N)(O)O,222.034881912,12,5,-3.4511200000000004,True,False
O=NN(C(N)=NC(ON=O)(O)O)C(=O)N,222.034881912,9,4,-2.3428999999999998,True,False
O=NOC(N(N=NC(O)=N)C(=O)O)(O)N,222.034881912,8,5,-0.9133299999999998,True,False
O=NOC(NC(=O)NN=NC(=O)O)(O)N,222.034881912,8,5,-1.4089,True,False
O=NNC(NC(=O)ON=NC(O)=N)(O)O,222.034881912,8,6,-1.56053,True,False
ON=NC(NC(O)=NN=NC(=O)O)(O)O,222.034881912,6,6,-1.0274999999999999,True,False
O=C=NC(ON(O)N=NNC(=O)O)(O)N,222.034881912,9,5,-1.9429000000000003,True,False
N#COC(NN(O)ON=NC(O)=N)(O)O,222.034881912,10,6,-1.9326500000000002,True,False
N=C=NC(ON(O)N=NOC(=O)N)(O)O,222.034881912,10,5,-1.66473,True,False
N=NOC(OC(=O)N=C=NN(O)O)(O)N,222.034881912,11,5,-1.1828300000000003,True,False
N=NOC(=N)OC(N(N=O)C(=O)O)(O)N,222.034881912,10,5,-0.8759600000000003,True,False
