Fragment,Count
[7*]CC#CC(=C)C,4
[7*]C1C(=O)OC1(C)C,4
[8*]C(C)(C)O,4
[13*]C12CC(C)(C1)O2,4
[15*]C12CC(O)(C1)C2,4
[15*]C12CC(C)(C1)O2,4
[15*]C1(O)CC(=O)C1,4
[13*]C1(O)C=C(C)O1,4
[7*]C1C(C)=CC1(O)O,4
[7*]C1C(=C)CC1(O)O,4
[13*]C1([13*])C#CO1,4
[15*]C1([15*])C#CC1=O,4
[7*]CC(O)(O)C(=C)C#C,4
[7*]C1C(O)=CC1(C)O,4
[7*]C1C(=O)CC1(C)O,4
[7*]C1C(=C)OC1(C)O,4
[13*]C1(O)CC(=C)O1,4
[15*]C1(C#CC(O)(O)O)C#C1,4
[13*]C1(C#C)OC(O)(C#C)O1,4
[4*]C1(C)C#CC=C1,4
[4*]C1(C)C=C=C=C1,4
[15*]C1(C)C=C=C=C1,4
[13*]C1(C#C)C#CC(O)(O)O1,4
[15*]C1(C)C#CC1,4
[4*]C([4*])(O)C#CC#C,4
[4*]C([4*])(C)C#CC#C,4
[4*]C1(C)C=C1C#C,4
[15*]C1(C)C=C1C#C,4
[15*]C1(C)C#CC=C1,4
[8*]CC=C,4
[15*]C1(C)C#CC1=C,4
[4*]C1(C)C#CC1=C,4
[7*]CC(O)(O)C#CC=C,4
[13*]C1(O)OC(C#C)(C#C)O1,4
[4*]C(C)(C)C#CC#C,4
[7*]CC(C)(O)C(=O)C#C,4
[7*]CC(C)(O)C#CO,4
[4*]C(C)(O)CC#C,4
[7*]CC1=CC(C)(O)O1,4
[7*]CC(C)(O)C=C=O,4
[4*]C(C)(C)C#CO,4
[8*]CC(=C)C#C,4
[7*]CC1=CC(O)(O)C1,4
[4*]C(C)(C)C=C=O,4
[4*]C(C)(O)C=C=C,4
[15*]C1(O)C=C(O)C1,4
[4*]C(C)(O)C#CC,4
[7*]C1C2(O)OC1(O)O2,4
[7*]CC(O)(O)CC#C,4
[7*]CC(O)(O)C#CC,4
[7*]CC(O)(O)C=C=C,4
[13*]C1(O)C#CC(O)(C#C)O1,4
[13*]C1(C)C=C(O)O1,4
[15*]C1(O)C#CC(O)(O)C#C1,4
[13*]C1(C)CC(=O)O1,4
[13*]C1(C)OC(=C)O1,4
[13*]C1(O)OC(=O)C#CC1=C,4
[7*]CC(O)(C#C)C#C,4
[13*]C1C#CC#CC(O)(O)O1,4
[15*]C1(O)CC(=O)C#CC1=O,4
[13*]C1(O)OC(=C)C#CC1=O,4
[4*]C(O)(O)C([7*])C#C,4
[4*]C(O)(O)C#CC[7*],4
[7*]C1C#CC1([15*])O,4
[13*]C1(O)OC(=C)C1=C=C=C,3
[15*]C1(O)CC(=C)C1=C=C=O,3
[15*]C1(O)C=C(C)C1=C=C=O,3
[7*]C1C(=C)OC1([13*])O,3
[15*]C1(O)CC(=O)C1=C=C=C,3
[7*]C1C(=O)CC1([15*])O,3
[15*]C1(O)C=C(O)C1=C=C=C,3
[13*]C1(C)OC(=C)C#CC1=O,3
[15*]C1(C)CC(=O)C#CC1=O,3
[15*]C1(C)C=C(O)C#CC1=O,3
[15*]C1(O)CC(=C)C#CC1=O,3
[15*]C1(O)C=C(C)C#CC1=O,3
[7*]CC(O)(O)C=C(O)O,3
[7*]C(C(=O)O)C(C)(O)O,3
[7*]C(C(C)=O)C(O)(O)O,3
[7*]C(C(=C)O)C(O)(O)O,3
[7*]CC(=C)OC(O)(O)O,3
[7*]CC(=O)CC(O)(O)O,3
[13*]C1(C)OC(=C)C1=C=C=O,3
[15*]C1(C)CC(=O)C1=C=C=O,3
[7*]CC(=O)C#CC#C,3
[13*]C1(O)OC(O)(C#C)O1,3
[3*]OC#CC(C)(C)O,3
[3*]OC#CC(=C)C,3
[13*]C1(O)C#CC(O)(O)O1,3
[7*]C(C)C=C=O,3
[7*]C(C)C#CO,3
[3*]OC(=C)C=C=C,3
[3*]OC(=C)CC#C,3
[3*]OC(=C)C#CC,3
[3*]OC(C)=C=C=C,3
[13*]C1(O)OC(C)(C)O1,3
[13*]C1(C)OC(C)(O)O1,3
[13*]C1(O)CC(C)(O)O1,3
[13*]C1(C)CC(O)(O)O1,3
[7*]C(O)C=C=C,3
[7*]C(O)CC#C,3
[7*]C(O)C#CC,3
[7*]C(C)OC#C,3
[15*]C1C#CC1(C)O,3
[8*]CC(O)(O)C=C=C=O,3
[8*]CC(O)(O)C#CC=O,3
[6*]C(=O)C#CC(C)(O)O,3
[8*]CC(O)(O)C(=O)C#C,3
[4*]C1(C)C=C=C1,3
[4*]C1(C)C#CC1,3
[7*]CC(C)(O)C#C,3
[15*]C1(O)CC(O)(O)C1,3
[13*]C1(C)OC(C#C)(C#C)O1,3
[13*]C1(O)CC(C#C)(C#C)O1,3
[15*]C1(O)C#CC#CC(O)(O)C1,3
[13*]C1(O)C#CC#CC(C)(O)O1,3
[13*]C1(C)C#CC#CC(O)(O)O1,3
[13*]C1(O)CC(O)(C#CC#C)O1,3
[13*]C1(O)OC(C)(C#CC#C)O1,3
